"url","tool","category","indexed","clicks_28d","impressions_28d","clicks_90d","impressions_90d","clicks_6m","impressions_6m","avg_position","ctr","tier1_relevance","tool_usage","internal_links","duplicate_risk","competition","unique_value","accuracy_risk","decision","priority"
"/math/prime-number-checker","Prime Number Checker","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-lcm-calculator","LCM Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-gcd-calculator","GCD Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/random-number-generator","Random Number Generator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/mean-median-mode-calculator","Mean Median Mode Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/rounding-numbers-calculator","Rounding Numbers Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/exponents-calculator","Exponents Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/variance-calculator","Variance Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/number-sequence-generator","Number Sequence Generator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/divisibility-checker","Divisibility Checker","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-matrix-calculator","Matrix Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-quadratic-equation-solver","Quadratic Equation Solver","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/permutation-calculator","Permutation Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/combination-calculator","Combination Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/modulo-calculator","Modulo Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/proportion-calculator","Proportion Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/percentage-error-calculator","Percentage Error Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/fraction-calculator","Fraction Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-simple-interest-calculator","Simple Interest Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-compound-interest-calculator","Compound Interest Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-loan-emi-calculator","Loan EMI Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/discount-calculator","Discount Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/profit-margin-calculator","Profit Margin Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/markup-calculator","Markup Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/break-even-calculator","Break Even Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-roi-calculator","ROI Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/savings-calculator","Savings Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-cagr-calculator","CAGR Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-debt-to-income-calculator","Debt-to-Income Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-loan-to-value-calculator","Loan-to-Value Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/tip-calculator","Tip Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-salary-calculator","Salary Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-tax-calculator","Tax Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-mortgage-payment-calculator","Mortgage Payment Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-gst-calculator","GST Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-inflation-calculator","Inflation Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/commission-calculator","Commission Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-investment-growth-calculator","Investment Growth Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-budget-calculator","Budget Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/expense-calculator","Expense Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/cost-per-unit-calculator","Cost Per Unit Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/price-per-unit-calculator","Price Per Unit Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/payback-period-calculator","Payback Period Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/loan-interest-calculator","Loan Interest Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/savings-goal-calculator","Savings Goal Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/revenue-calculator","Revenue Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/cost-split-calculator","Cost Split Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/depreciation-calculator","Depreciation Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/net-worth-calculator","Net Worth Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-retirement-calculator","Retirement Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-car-loan-calculator","Car Loan Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/credit-card-payoff-calculator","Credit Card Payoff Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/down-payment-calculator","Down Payment Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-amortization-calculator","Amortization Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/stock-profit-calculator","Stock Profit Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/dividend-calculator","Dividend Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/online-currency-exchange-calculator","Currency Exchange Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/finance/hourly-to-salary-calculator","Hourly to Salary Calculator","Finance & Cost","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-length-converter","Length Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-weight-converter","Weight Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-temperature-converter","Temperature Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-area-converter","Area Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-volume-converter","Volume Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-speed-converter","Speed Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/color-converter","Color Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-binary-to-decimal-converter","Binary to Decimal Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/decimal-to-binary-converter","Decimal to Binary Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/hex-to-decimal-converter","Hex to Decimal Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-roman-numeral-converter","Roman Numeral Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/data-storage-converter","Data Storage Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/energy-converter","Energy Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/pressure-converter","Pressure Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/time-converter","Time Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/angle-converter","Angle Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/frequency-converter","Frequency Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/fuel-efficiency-converter","Fuel Efficiency Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/number-to-words-converter","Number to Words Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/words-to-number-converter","Words to Number Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/base-converter","Base Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/binary-to-hex-converter","Binary to Hex Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/hex-to-binary-converter","Hex to Binary Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/octal-converter","Octal Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/unit-price-converter","Unit Price Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/density-converter","Density Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/power-converter","Power Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/torque-converter","Torque Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/force-converter","Force Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/electric-current-converter","Electric Current Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-shoe-size-converter","Shoe Size Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/conversion/online-cooking-converter","Cooking Converter","Conversion Tools","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/online-age-calculator","Age Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/date-difference-calculator","Date Difference Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/online-countdown-timer","Countdown Timer","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/time-duration-calculator","Time Duration Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/work-hours-calculator","Work Hours Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/business-days-calculator","Business Days Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/leap-year-checker","Leap Year Checker","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/online-time-zone-converter","Time Zone Converter","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/online-stopwatch","Stopwatch Tool","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/half-birthday-calculator","Half Birthday Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/week-number-calculator","Week Number Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/overtime-calculator","Overtime Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/days-between-dates-calculator","Days Between Dates Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/working-days-calculator","Working Days Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/time-addition-calculator","Time Addition Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/time-subtraction-calculator","Time Subtraction Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/meeting-time-calculator","Meeting Time Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/shift-schedule-calculator","Shift Schedule Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/deadline-calculator","Deadline Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/study-time-calculator","Study Time Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/reading-time-calculator","Reading Time Calculator","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/time-date/event-countdown-timer","Event Countdown Timer","Time & Date","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
